;,"2022 CEC Nonresidential TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/MSontag - 04/22/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC 8/12/20 - revised to confirm to Res table type/format & organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,NK - 04/22/20  - Updated with new 2022 TDV (20 yr GWP) multipliers for use with new (2022) weather files. 2022 Electric TDVs: 2022 TDV CH4_Leak_20yr_15RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
; TABLE TDVbyCZandFuel_Pol-15_CH4Leak_20yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10101,28.70394538,286.1004804,540.4062069,28.46703971,286.1004804,540.4062069,28.61676887,286.1004804,540.4062069,28.66198915,286.1004804,540.4062069,28.7735554,286.1004804,540.4062069,28.62027269,289.191387,540.4062069,28.57104582,290.8274286,540.4062069,28.73551193,289.191387,540.4062069,28.65748218,289.191387,540.4062069,28.60284868,289.191387,540.4062069,28.58225592,286.1004804,540.4062069,28.59076191,286.1004804,540.4062069,28.51846191,286.1004804,540.4062069,28.59303867,289.191387,540.4062069,28.60713419,289.191387,540.4062069,29.16506856,289.191387,540.4062069
10102,28.69596878,286.1004804,540.4062069,28.45908258,286.1004804,540.4062069,28.60879944,286.1004804,540.4062069,28.65401599,286.1004804,540.4062069,28.76557308,286.1004804,540.4062069,28.60039044,289.191387,540.4062069,28.5512016,290.8274286,540.4062069,28.71560599,289.191387,540.4062069,28.63759229,289.191387,540.4062069,28.58297002,289.191387,540.4062069,28.57428932,286.1004804,540.4062069,28.58279461,286.1004804,540.4062069,28.51050055,286.1004804,540.4062069,28.57316202,289.191387,540.4062069,28.58725465,289.191387,540.4062069,29.14507428,289.191387,540.4062069
10103,28.5616501,286.1004804,540.4062069,28.32509179,286.1004804,540.4062069,28.47460142,286.1004804,540.4062069,28.51975539,286.1004804,540.4062069,28.63115806,286.1004804,540.4062069,28.40268791,289.191387,540.4062069,28.353884,290.8274286,540.4062069,28.51766781,289.191387,540.4062069,28.43981366,289.191387,540.4062069,28.38530311,289.191387,540.4062069,28.44013906,286.1004804,540.4062069,28.44863258,286.1004804,540.4062069,28.3764386,286.1004804,540.4062069,28.37551518,289.191387,540.4062069,28.38957898,289.191387,540.4062069,28.94625772,289.191387,540.4062069
10104,28.34342889,286.1004804,540.4062069,28.10740328,286.1004804,540.4062069,28.25657623,286.1004804,540.4062069,28.30162852,286.1004804,540.4062069,28.41278033,286.1004804,540.4062069,28.24404939,289.191387,540.4062069,28.19555577,290.8274286,540.4062069,28.3588402,289.191387,540.4062069,28.28111409,289.191387,540.4062069,28.22669318,289.191387,540.4062069,28.22219148,286.1004804,540.4062069,28.23066587,286.1004804,540.4062069,28.15863446,286.1004804,540.4062069,28.21692135,289.191387,540.4062069,28.23096202,289.191387,540.4062069,28.7867253,289.191387,540.4062069
10105,28.62459034,286.1004804,540.4062069,28.38787839,286.1004804,540.4062069,28.53748511,286.1004804,540.4062069,28.58266841,286.1004804,540.4062069,28.69414344,286.1004804,540.4062069,28.34803904,289.191387,540.4062069,28.29933979,290.8274286,540.4062069,28.4629538,289.191387,540.4062069,28.38514376,289.191387,540.4062069,28.33066409,289.191387,540.4062069,28.50300038,286.1004804,540.4062069,28.51149941,286.1004804,540.4062069,28.43925854,286.1004804,540.4062069,28.3208817,289.191387,540.4062069,28.33493754,289.191387,540.4062069,28.89130091,289.191387,540.4062069
10106,28.70862524,286.1004804,540.4062069,28.47170815,286.1004804,540.4062069,28.62144453,286.1004804,540.4062069,28.66666698,286.1004804,540.4062069,28.77823862,286.1004804,540.4062069,28.61464251,289.191387,540.4062069,28.56542597,290.8274286,540.4062069,28.72987504,289.191387,540.4062069,28.65184984,289.191387,540.4062069,28.59721951,289.191387,540.4062069,28.58692991,286.1004804,540.4062069,28.59543631,286.1004804,540.4062069,28.52313283,286.1004804,540.4062069,28.58741007,289.191387,540.4062069,28.60150478,289.191387,540.4062069,29.15940665,289.191387,540.4062069
10107,28.71728876,286.1004804,540.4062069,28.48035052,286.1004804,540.4062069,28.63010027,286.1004804,540.4062069,28.67532676,286.1004804,540.4062069,28.78690836,286.1004804,540.4062069,28.6339157,289.191387,540.4062069,28.58466344,290.8274286,540.4062069,28.7491712,289.191387,540.4062069,28.67113045,289.191387,540.4062069,28.61648923,289.191387,540.4062069,28.59558257,286.1004804,540.4062069,28.60408973,286.1004804,540.4062069,28.53177979,286.1004804,540.4062069,28.60667783,289.191387,540.4062069,28.62077535,289.191387,540.4062069,29.17878844,289.191387,540.4062069
10108,28.71840942,286.1004804,540.4062069,28.48146845,286.1004804,540.4062069,28.63121993,286.1004804,540.4062069,28.67644694,286.1004804,540.4062069,28.78802982,286.1004804,540.4062069,28.62253726,289.191387,540.4062069,28.57330578,290.8274286,540.4062069,28.7377792,289.191387,540.4062069,28.65974763,289.191387,540.4062069,28.60511284,289.191387,540.4062069,28.59670182,286.1004804,540.4062069,28.60520908,286.1004804,540.4062069,28.53289831,286.1004804,540.4062069,28.5953026,289.191387,540.4062069,28.60939846,289.191387,540.4062069,29.16734589,289.191387,540.4062069
10109,28.71622278,286.1004804,540.4062069,28.47928715,286.1004804,540.4062069,28.62903525,286.1004804,540.4062069,28.67426124,286.1004804,540.4062069,28.78584161,286.1004804,540.4062069,28.20409598,289.191387,540.4062069,28.15566772,290.8274286,540.4062069,28.31883917,289.191387,540.4062069,28.24114531,289.191387,540.4062069,28.18674697,289.191387,540.4062069,28.59451792,286.1004804,540.4062069,28.60302499,286.1004804,540.4062069,28.53071585,286.1004804,540.4062069,28.17697919,289.191387,540.4062069,28.19101404,289.191387,540.4062069,28.74654675,289.191387,540.4062069
10110,28.53182531,286.1004804,540.4062069,28.2953398,286.1004804,540.4062069,28.44480341,286.1004804,540.4062069,28.48994349,286.1004804,540.4062069,28.60131187,286.1004804,540.4062069,25.50976404,289.191387,540.4062069,25.4663975,290.8274286,540.4062069,25.62129579,289.191387,540.4062069,25.54577643,289.191387,540.4062069,25.4929006,289.191387,540.4062069,28.41035167,286.1004804,540.4062069,28.41884257,286.1004804,540.4062069,28.3466708,286.1004804,540.4062069,25.4834062,289.191387,540.4062069,25.49704824,289.191387,540.4062069,26.03703265,289.191387,540.4062069
10111,28.43834757,286.1004804,540.4062069,28.20209025,286.1004804,540.4062069,28.35140964,286.1004804,540.4062069,28.39650616,286.1004804,540.4062069,28.50776709,286.1004804,540.4062069,24.61407134,289.191387,540.4062069,24.57243732,290.8274286,540.4062069,24.72453549,289.191387,540.4062069,24.64973901,289.191387,540.4062069,24.59736932,289.191387,540.4062069,28.31699114,286.1004804,540.4062069,28.32547385,286.1004804,540.4062069,28.25337172,286.1004804,540.4062069,24.5879658,289.191387,540.4062069,24.60147725,289.191387,540.4062069,25.13629285,289.191387,540.4062069
10112,28.18014239,286.1004804,540.4062069,27.94451538,286.1004804,540.4062069,28.0934364,286.1004804,540.4062069,28.13841261,286.1004804,540.4062069,28.2493767,286.1004804,540.4062069,24.3553007,289.191387,540.4062069,24.31414814,290.8274286,540.4062069,24.46545642,289.191387,540.4062069,24.39086878,289.191387,540.4062069,24.33864532,289.191387,540.4062069,28.05910972,286.1004804,540.4062069,28.0675698,286.1004804,540.4062069,27.99566003,286.1004804,540.4062069,24.32926805,289.191387,540.4062069,24.34274178,289.191387,540.4062069,24.87606408,289.191387,540.4062069
10113,27.06641765,286.1004804,540.4062069,26.83350935,286.1004804,540.4062069,26.98071209,286.1004804,540.4062069,27.02516936,286.1004804,540.4062069,27.13485313,286.1004804,540.4062069,24.3675904,289.191387,540.4062069,24.32641556,290.8274286,540.4062069,24.47776076,289.191387,540.4062069,24.40316321,289.191387,540.4062069,24.35093279,289.191387,540.4062069,26.94678148,286.1004804,540.4062069,26.95514395,286.1004804,540.4062069,26.88406389,286.1004804,540.4062069,24.34155428,289.191387,540.4062069,24.35502981,289.191387,540.4062069,24.88842302,289.191387,540.4062069
10114,27.92320152,286.1004804,540.4062069,27.68820173,286.1004804,540.4062069,27.83672634,286.1004804,540.4062069,27.88158282,286.1004804,540.4062069,27.99225154,286.1004804,540.4062069,24.35715031,289.191387,540.4062069,24.31599431,290.8274286,540.4062069,24.46730823,289.191387,540.4062069,24.39271911,289.191387,540.4062069,24.34049459,289.191387,540.4062069,27.80249103,286.1004804,540.4062069,27.81092859,286.1004804,540.4062069,27.73921024,286.1004804,540.4062069,24.33111714,289.191387,540.4062069,24.34459114,289.191387,540.4062069,24.87792411,289.191387,540.4062069
