;,"2022 CEC RESIDENTIAL TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/BConlon - 12/4/2019 - electricity TDVs with 15% of the retail rate adder shaped based on the hourly avoided cost components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,updated NatGas multipliers from E3/MS 3/2/2020 - 2022_TDV_Policy_Compliant_CH4Leak_FlatRtlAdd_20191210.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 3/2/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10101,28.45387375,357.922121,686.8525987,28.19262925,357.922121,686.8525987,28.37877251,357.922121,686.8525987,28.23442087,357.922121,686.8525987,28.47779546,357.922121,686.8525987,28.20113406,359.0523274,686.8525987,28.25266471,360.8981959,686.8525987,27.84817884,359.0523274,686.8525987,27.81776736,359.0523274,686.8525987,27.81016816,359.0523274,686.8525987,28.2412831,357.922121,686.8525987,28.23899394,357.922121,686.8525987,28.1636281,357.922121,686.8525987,27.65158706,359.0523274,686.8525987,27.71147626,359.0523274,686.8525987,28.78620841,359.0523274,686.8525987
10102,28.43438293,357.922121,686.8525987,28.17319619,357.922121,686.8525987,28.3592983,357.922121,686.8525987,28.21497857,357.922121,686.8525987,28.45829935,357.922121,686.8525987,28.17561598,359.0523274,686.8525987,28.22716416,360.8981959,686.8525987,27.82276347,359.0523274,686.8525987,27.79236084,359.0523274,686.8525987,27.78476385,359.0523274,686.8525987,28.22183928,357.922121,686.8525987,28.21955063,357.922121,686.8525987,28.14420145,357.922121,686.8525987,27.62622889,359.0523274,686.8525987,27.68610067,359.0523274,686.8525987,28.76052008,359.0523274,686.8525987
10103,28.364447,357.922121,686.8525987,28.10346751,357.922121,686.8525987,28.28942195,357.922121,686.8525987,28.14521673,357.922121,686.8525987,28.38834444,357.922121,686.8525987,28.0726697,359.0523274,686.8525987,28.12431001,360.8981959,686.8525987,27.72023152,359.0523274,686.8525987,27.68986459,359.0523274,686.8525987,27.68227653,359.0523274,686.8525987,28.152072,357.922121,686.8525987,28.14978517,357.922121,686.8525987,28.07449577,357.922121,686.8525987,27.52392773,359.0523274,686.8525987,27.5837292,359.0523274,686.8525987,28.65688697,359.0523274,686.8525987
10104,28.24976429,357.922121,686.8525987,27.98912464,357.922121,686.8525987,28.17483693,357.922121,686.8525987,28.0308195,357.922121,686.8525987,28.27363061,357.922121,686.8525987,27.98968345,359.0523274,686.8525987,28.04139866,360.8981959,686.8525987,27.63757927,359.0523274,686.8525987,27.60724112,359.0523274,686.8525987,27.59966025,359.0523274,686.8525987,28.03766585,357.922121,686.8525987,28.03538199,357.922121,686.8525987,27.96019064,357.922121,686.8525987,27.44146151,359.0523274,686.8525987,27.50120631,359.0523274,686.8525987,28.57334706,359.0523274,686.8525987
10105,28.39832426,357.922121,686.8525987,28.13724437,357.922121,686.8525987,28.32327034,357.922121,686.8525987,28.17900966,357.922121,686.8525987,28.42223089,357.922121,686.8525987,28.04428016,359.0523274,686.8525987,28.09594499,360.8981959,686.8525987,27.69195625,359.0523274,686.8525987,27.66159917,359.0523274,686.8525987,27.65401356,359.0523274,686.8525987,28.18586756,357.922121,686.8525987,28.18357985,357.922121,686.8525987,28.10826149,357.922121,686.8525987,27.4957161,359.0523274,686.8525987,27.55549818,359.0523274,686.8525987,28.62830803,359.0523274,686.8525987
10106,28.44887691,357.922121,686.8525987,28.18764722,357.922121,686.8525987,28.37377993,357.922121,686.8525987,28.22943647,357.922121,686.8525987,28.47279726,357.922121,686.8525987,28.19058838,359.0523274,686.8525987,28.24212564,360.8981959,686.8525987,27.83767561,359.0523274,686.8525987,27.80726779,359.0523274,686.8525987,27.7996695,359.0523274,686.8525987,28.23629831,357.922121,686.8525987,28.23400929,357.922121,686.8525987,28.15864771,357.922121,686.8525987,27.64110747,359.0523274,686.8525987,27.70098947,359.0523274,686.8525987,28.77559237,359.0523274,686.8525987
10107,28.47596008,357.922121,686.8525987,28.21465013,357.922121,686.8525987,28.40084003,357.922121,686.8525987,28.25645222,357.922121,686.8525987,28.49988778,357.922121,686.8525987,28.2232532,359.0523274,686.8525987,28.27476955,360.8981959,686.8525987,27.87020895,359.0523274,686.8525987,27.8397898,359.0523274,686.8525987,27.83218869,359.0523274,686.8525987,28.26331617,357.922121,686.8525987,28.26102644,357.922121,686.8525987,28.18564171,357.922121,686.8525987,27.67356759,359.0523274,686.8525987,27.73347189,359.0523274,686.8525987,28.80847512,359.0523274,686.8525987
