;,"2022 CEC RESIDENTIAL TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/BConlon - 12/4/2019 - electricity TDVs with 15% of the retail rate adder shaped based on the hourly avoided cost components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,updated Elec & NatGas multipliers from E3/MS 4/22/2020 to incl. methane leakage impacts with a 20-yr GWP - 2022_TDV_Source_Energy_CH4_Leak_20yr_15RA_20200422.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 4/22/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10101,28.66444149,376.246244,686.8525987,28.40328305,376.246244,686.8525987,28.58936499,376.246244,686.8525987,28.4450609,376.246244,686.8525987,28.68835532,376.246244,686.8525987,28.41168738,377.3764503,686.8525987,28.46339246,379.2223189,686.8525987,28.05885033,377.3764503,686.8525987,28.02844904,377.3764503,686.8525987,28.02085238,377.3764503,686.8525987,28.45192087,376.246244,686.8525987,28.44963247,376.246244,686.8525987,28.37429145,376.246244,686.8525987,27.86232438,377.3764503,686.8525987,27.92219352,377.3764503,686.8525987,28.99656584,377.3764503,686.8525987
10102,28.64502509,376.246244,686.8525987,28.38392324,376.246244,686.8525987,28.56996486,376.246244,686.8525987,28.42569204,376.246244,686.8525987,28.66893373,376.246244,686.8525987,28.38626624,377.3764503,686.8525987,28.43798873,379.2223189,686.8525987,28.03352983,377.3764503,686.8525987,28.00313721,377.3764503,686.8525987,27.99554272,377.3764503,686.8525987,28.43255052,376.246244,686.8525987,28.43026262,376.246244,686.8525987,28.35493793,376.246244,686.8525987,27.83705993,377.3764503,686.8525987,27.896912,377.3764503,686.8525987,28.97097789,377.3764503,686.8525987
10103,28.57535616,376.246244,686.8525987,28.3144574,376.246244,686.8525987,28.50035431,376.246244,686.8525987,28.35619371,376.246244,686.8525987,28.59924621,376.246244,686.8525987,28.28371106,377.3764503,686.8525987,28.33552513,379.2223189,686.8525987,27.93138063,377.3764503,686.8525987,27.90102299,377.3764503,686.8525987,27.89343724,377.3764503,686.8525987,28.36304686,376.246244,686.8525987,28.36076073,376.246244,686.8525987,28.28549463,376.246244,686.8525987,27.73513685,377.3764503,686.8525987,27.79492004,377.3764503,686.8525987,28.86774973,377.3764503,686.8525987
10104,28.46111129,376.246244,686.8525987,28.20054555,376.246244,686.8525987,28.38620518,376.246244,686.8525987,28.24222858,376.246244,686.8525987,28.48497084,376.246244,686.8525987,28.20104008,377.3764503,686.8525987,28.25292861,379.2223189,686.8525987,27.84903691,377.3764503,686.8525987,27.81870747,377.3764503,686.8525987,27.81112877,377.3764503,686.8525987,28.24907298,376.246244,686.8525987,28.24678978,376.246244,686.8525987,28.17161974,376.246244,686.8525987,27.65297542,377.3764503,686.8525987,27.71270307,377.3764503,686.8525987,28.78453625,377.3764503,686.8525987
10105,28.60910408,376.246244,686.8525987,28.34810694,376.246244,686.8525987,28.53407395,376.246244,686.8525987,28.38985899,376.246244,686.8525987,28.63300313,376.246244,686.8525987,28.25542938,377.3764503,686.8525987,28.30726782,379.2223189,686.8525987,27.90321091,377.3764503,686.8525987,27.87286291,377.3764503,686.8525987,27.86527957,377.3764503,686.8525987,28.39671472,376.246244,686.8525987,28.39442774,376.246244,686.8525987,28.31913325,376.246244,686.8525987,27.70702949,377.3764503,686.8525987,27.76679368,377.3764503,686.8525987,28.83928246,377.3764503,686.8525987
10106,28.65946373,376.246244,686.8525987,28.3983198,376.246244,686.8525987,28.58439141,376.246244,686.8525987,28.44009533,376.246244,686.8525987,28.68337623,376.246244,686.8525987,28.40118176,377.3764503,686.8525987,28.45289341,379.2223189,686.8525987,28.04838631,377.3764503,686.8525987,28.01798859,377.3764503,686.8525987,28.01039284,377.3764503,686.8525987,28.44695492,376.246244,686.8525987,28.44466665,376.246244,686.8525987,28.36932981,376.246244,686.8525987,27.85188351,377.3764503,686.8525987,27.9117456,377.3764503,686.8525987,28.98599128,377.3764503,686.8525987
10107,28.6864435,376.246244,686.8525987,28.42522092,376.246244,686.8525987,28.61134856,376.246244,686.8525987,28.46700904,376.246244,686.8525987,28.7103632,376.246244,686.8525987,28.43372248,377.3764503,686.8525987,28.48541336,379.2223189,686.8525987,28.08079821,377.3764503,686.8525987,28.0503894,377.3764503,686.8525987,28.04279086,377.3764503,686.8525987,28.47387069,376.246244,686.8525987,28.47158173,376.246244,686.8525987,28.3962222,376.246244,686.8525987,27.88422366,377.3764503,686.8525987,27.94410761,377.3764503,686.8525987,29.01874553,377.3764503,686.8525987
