;,"2022 CEC RESIDENTIAL TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/BConlon - 12/4/2019 - electricity TDVs with 15% of the retail rate adder shaped based on the hourly avoided cost components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,updated NatGas multipliers from E3/MS 3/2/2020 - 2022_TDV_Policy_Compliant_NoCH4Leak_FlatRtlAdd_20191209.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 3/2/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10101,28.45387375,352.2185086,686.8525987,28.19262925,352.2185086,686.8525987,28.37877251,352.2185086,686.8525987,28.23442087,352.2185086,686.8525987,28.47779546,352.2185086,686.8525987,28.20113406,353.3487149,686.8525987,28.25266471,355.1945834,686.8525987,27.84817884,353.3487149,686.8525987,27.81776736,353.3487149,686.8525987,27.81016816,353.3487149,686.8525987,28.2412831,352.2185086,686.8525987,28.23899394,352.2185086,686.8525987,28.1636281,352.2185086,686.8525987,27.65158706,353.3487149,686.8525987,27.71147626,353.3487149,686.8525987,28.78620841,353.3487149,686.8525987
10102,28.43438293,352.2185086,686.8525987,28.17319619,352.2185086,686.8525987,28.3592983,352.2185086,686.8525987,28.21497857,352.2185086,686.8525987,28.45829935,352.2185086,686.8525987,28.17561598,353.3487149,686.8525987,28.22716416,355.1945834,686.8525987,27.82276347,353.3487149,686.8525987,27.79236084,353.3487149,686.8525987,27.78476385,353.3487149,686.8525987,28.22183928,352.2185086,686.8525987,28.21955063,352.2185086,686.8525987,28.14420145,352.2185086,686.8525987,27.62622889,353.3487149,686.8525987,27.68610067,353.3487149,686.8525987,28.76052008,353.3487149,686.8525987
10103,28.364447,352.2185086,686.8525987,28.10346751,352.2185086,686.8525987,28.28942195,352.2185086,686.8525987,28.14521673,352.2185086,686.8525987,28.38834444,352.2185086,686.8525987,28.0726697,353.3487149,686.8525987,28.12431001,355.1945834,686.8525987,27.72023152,353.3487149,686.8525987,27.68986459,353.3487149,686.8525987,27.68227653,353.3487149,686.8525987,28.152072,352.2185086,686.8525987,28.14978517,352.2185086,686.8525987,28.07449577,352.2185086,686.8525987,27.52392773,353.3487149,686.8525987,27.5837292,353.3487149,686.8525987,28.65688697,353.3487149,686.8525987
10104,28.24976429,352.2185086,686.8525987,27.98912464,352.2185086,686.8525987,28.17483693,352.2185086,686.8525987,28.0308195,352.2185086,686.8525987,28.27363061,352.2185086,686.8525987,27.98968345,353.3487149,686.8525987,28.04139866,355.1945834,686.8525987,27.63757927,353.3487149,686.8525987,27.60724112,353.3487149,686.8525987,27.59966025,353.3487149,686.8525987,28.03766585,352.2185086,686.8525987,28.03538199,352.2185086,686.8525987,27.96019064,352.2185086,686.8525987,27.44146151,353.3487149,686.8525987,27.50120631,353.3487149,686.8525987,28.57334706,353.3487149,686.8525987
10105,28.39832426,352.2185086,686.8525987,28.13724437,352.2185086,686.8525987,28.32327034,352.2185086,686.8525987,28.17900966,352.2185086,686.8525987,28.42223089,352.2185086,686.8525987,28.04428016,353.3487149,686.8525987,28.09594499,355.1945834,686.8525987,27.69195625,353.3487149,686.8525987,27.66159917,353.3487149,686.8525987,27.65401356,353.3487149,686.8525987,28.18586756,352.2185086,686.8525987,28.18357985,352.2185086,686.8525987,28.10826149,352.2185086,686.8525987,27.4957161,353.3487149,686.8525987,27.55549818,353.3487149,686.8525987,28.62830803,353.3487149,686.8525987
10106,28.44887691,352.2185086,686.8525987,28.18764722,352.2185086,686.8525987,28.37377993,352.2185086,686.8525987,28.22943647,352.2185086,686.8525987,28.47279726,352.2185086,686.8525987,28.19058838,353.3487149,686.8525987,28.24212564,355.1945834,686.8525987,27.83767561,353.3487149,686.8525987,27.80726779,353.3487149,686.8525987,27.7996695,353.3487149,686.8525987,28.23629831,352.2185086,686.8525987,28.23400929,352.2185086,686.8525987,28.15864771,352.2185086,686.8525987,27.64110747,353.3487149,686.8525987,27.70098947,353.3487149,686.8525987,28.77559237,353.3487149,686.8525987
10107,28.47596008,352.2185086,686.8525987,28.21465013,352.2185086,686.8525987,28.40084003,352.2185086,686.8525987,28.25645222,352.2185086,686.8525987,28.49988778,352.2185086,686.8525987,28.2232532,353.3487149,686.8525987,28.27476955,355.1945834,686.8525987,27.87020895,353.3487149,686.8525987,27.8397898,353.3487149,686.8525987,27.83218869,353.3487149,686.8525987,28.26331617,352.2185086,686.8525987,28.26102644,352.2185086,686.8525987,28.18564171,352.2185086,686.8525987,27.67356759,353.3487149,686.8525987,27.73347189,353.3487149,686.8525987,28.80847512,353.3487149,686.8525987
