;,"2022 CEC RESIDENTIAL TDV factors by climate zone, fuel and hour - Mid-IEPR (BAU) - Retail Adj, 50% avoided costs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/BConlon - 10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 11/16/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10101,29.09,316.7452992,686.8525987,28.82,316.7452992,686.8525987,29.02,316.7452992,686.8525987,28.87,316.7452992,686.8525987,29.12,316.7452992,686.8525987,28.84,317.8530556,686.8525987,28.87,319.6761988,686.8525987,28.47,317.8530556,686.8525987,28.44,317.8530556,686.8525987,28.44,317.8530556,686.8525987,28.87,316.7452992,686.8525987,28.87,316.7452992,686.8525987,28.79,316.7452992,686.8525987,28.27,317.8530556,686.8525987,28.33,317.8530556,686.8525987,29.45,317.8530556,686.8525987
10102,29.07,316.7452992,686.8525987,28.8,316.7452992,686.8525987,28.99,316.7452992,686.8525987,28.84,316.7452992,686.8525987,29.09,316.7452992,686.8525987,28.8,317.8530556,686.8525987,28.84,319.6761988,686.8525987,28.44,317.8530556,686.8525987,28.41,317.8530556,686.8525987,28.4,317.8530556,686.8525987,28.85,316.7452992,686.8525987,28.84,316.7452992,686.8525987,28.77,316.7452992,686.8525987,28.23,317.8530556,686.8525987,28.3,317.8530556,686.8525987,29.41,317.8530556,686.8525987
10103,28.97,316.7452992,686.8525987,28.69,316.7452992,686.8525987,28.89,316.7452992,686.8525987,28.74,316.7452992,686.8525987,28.99,316.7452992,686.8525987,28.66,317.8530556,686.8525987,28.69,319.6761988,686.8525987,28.29,317.8530556,686.8525987,28.26,317.8530556,686.8525987,28.25,317.8530556,686.8525987,28.75,316.7452992,686.8525987,28.74,316.7452992,686.8525987,28.66,316.7452992,686.8525987,28.09,317.8530556,686.8525987,28.15,317.8530556,686.8525987,29.26,317.8530556,686.8525987
10104,28.8,316.7452992,686.8525987,28.53,316.7452992,686.8525987,28.72,316.7452992,686.8525987,28.57,316.7452992,686.8525987,28.82,316.7452992,686.8525987,28.54,317.8530556,686.8525987,28.57,319.6761988,686.8525987,28.17,317.8530556,686.8525987,28.14,317.8530556,686.8525987,28.13,317.8530556,686.8525987,28.58,316.7452992,686.8525987,28.58,316.7452992,686.8525987,28.5,316.7452992,686.8525987,27.97,317.8530556,686.8525987,28.03,317.8530556,686.8525987,29.14,317.8530556,686.8525987
10105,29.01,316.7452992,686.8525987,28.74,316.7452992,686.8525987,28.94,316.7452992,686.8525987,28.79,316.7452992,686.8525987,29.04,316.7452992,686.8525987,28.62,317.8530556,686.8525987,28.65,319.6761988,686.8525987,28.25,317.8530556,686.8525987,28.22,317.8530556,686.8525987,28.21,317.8530556,686.8525987,28.79,316.7452992,686.8525987,28.79,316.7452992,686.8525987,28.71,316.7452992,686.8525987,28.05,317.8530556,686.8525987,28.11,317.8530556,686.8525987,29.22,317.8530556,686.8525987
10106,29.09,316.7452992,686.8525987,28.82,316.7452992,686.8525987,29.01,316.7452992,686.8525987,28.86,316.7452992,686.8525987,29.11,316.7452992,686.8525987,28.83,317.8530556,686.8525987,28.86,319.6761988,686.8525987,28.46,317.8530556,686.8525987,28.43,317.8530556,686.8525987,28.42,317.8530556,686.8525987,28.87,316.7452992,686.8525987,28.86,316.7452992,686.8525987,28.79,316.7452992,686.8525987,28.26,317.8530556,686.8525987,28.32,317.8530556,686.8525987,29.43,317.8530556,686.8525987
10107,29.13,316.7452992,686.8525987,28.85,316.7452992,686.8525987,29.05,316.7452992,686.8525987,28.9,316.7452992,686.8525987,29.15,316.7452992,686.8525987,28.87,317.8530556,686.8525987,28.91,319.6761988,686.8525987,28.51,317.8530556,686.8525987,28.47,317.8530556,686.8525987,28.47,317.8530556,686.8525987,28.91,316.7452992,686.8525987,28.9,316.7452992,686.8525987,28.82,316.7452992,686.8525987,28.3,317.8530556,686.8525987,28.36,317.8530556,686.8525987,29.48,317.8530556,686.8525987
