;,"2022 CEC RESIDENTIAL TDV factors by climate zone, fuel and hour - Policy Compliant - Retail Adj, 0% avoided costs - No CH4 Leak  2019-12-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/MSontag - 12/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,updated NatGas mults w/ E3/MS 3/2/20 - 2022_TDV_Policy_Compliant_CH4Leak_FlatRtlAdd_20191210.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 3/2/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10101,28.17936327,357.922121,686.8525987,27.92240089,357.922121,686.8525987,28.10549304,357.922121,686.8525987,27.96350749,357.922121,686.8525987,28.20289287,357.922121,686.8525987,27.92685337,359.0523274,686.8525987,27.98643272,360.8981959,686.8525987,27.57975807,359.0523274,686.8525987,27.5498515,359.0523274,686.8525987,27.54237847,359.0523274,686.8525987,27.97025724,357.922121,686.8525987,27.96800561,357.922121,686.8525987,27.8938751,357.922121,686.8525987,27.3864302,359.0523274,686.8525987,27.44532509,359.0523274,686.8525987,28.50221405,359.0523274,686.8525987
10102,28.16357514,357.922121,686.8525987,27.90661276,357.922121,686.8525987,28.0897049,357.922121,686.8525987,27.94771936,357.922121,686.8525987,28.18710474,357.922121,686.8525987,27.90614252,359.0523274,686.8525987,27.96574447,360.8981959,686.8525987,27.55904722,359.0523274,686.8525987,27.52914065,359.0523274,686.8525987,27.52166762,359.0523274,686.8525987,27.95446911,357.922121,686.8525987,27.95221748,357.922121,686.8525987,27.87808697,357.922121,686.8525987,27.36571935,359.0523274,686.8525987,27.42461424,359.0523274,686.8525987,28.4815032,359.0523274,686.8525987
10103,28.10692498,357.922121,686.8525987,27.8499626,357.922121,686.8525987,28.03305475,357.922121,686.8525987,27.89106921,357.922121,686.8525987,28.13045458,357.922121,686.8525987,27.8225898,359.0523274,686.8525987,27.88230031,360.8981959,686.8525987,27.4754945,359.0523274,686.8525987,27.44558793,359.0523274,686.8525987,27.43811489,359.0523274,686.8525987,27.89781896,357.922121,686.8525987,27.89556732,357.922121,686.8525987,27.82143682,357.922121,686.8525987,27.28216663,359.0523274,686.8525987,27.34106152,359.0523274,686.8525987,28.39795047,359.0523274,686.8525987
10104,28.01402862,357.922121,686.8525987,27.75706625,357.922121,686.8525987,27.94015839,357.922121,686.8525987,27.79817285,357.922121,686.8525987,28.03755822,357.922121,686.8525987,27.75523693,359.0523274,686.8525987,27.81503546,360.8981959,686.8525987,27.40814163,359.0523274,686.8525987,27.37823506,359.0523274,686.8525987,27.37076202,359.0523274,686.8525987,27.8049226,357.922121,686.8525987,27.80267096,357.922121,686.8525987,27.72854046,357.922121,686.8525987,27.21481376,359.0523274,686.8525987,27.27370865,359.0523274,686.8525987,28.3305976,359.0523274,686.8525987
10105,28.13436655,357.922121,686.8525987,27.87740418,357.922121,686.8525987,28.06049632,357.922121,686.8525987,27.91851078,357.922121,686.8525987,28.15789615,357.922121,686.8525987,27.79954843,359.0523274,686.8525987,27.85928816,360.8981959,686.8525987,27.45245313,359.0523274,686.8525987,27.42254656,359.0523274,686.8525987,27.41507353,359.0523274,686.8525987,27.92526053,357.922121,686.8525987,27.92300889,357.922121,686.8525987,27.84887839,357.922121,686.8525987,27.25912526,359.0523274,686.8525987,27.31802015,359.0523274,686.8525987,28.37490911,359.0523274,686.8525987
10106,28.17531569,357.922121,686.8525987,27.91835331,357.922121,686.8525987,28.10144545,357.922121,686.8525987,27.95945991,357.922121,686.8525987,28.19884529,357.922121,686.8525987,27.91829434,359.0523274,686.8525987,27.97788252,360.8981959,686.8525987,27.57119905,359.0523274,686.8525987,27.54129247,359.0523274,686.8525987,27.53381944,359.0523274,686.8525987,27.96620966,357.922121,686.8525987,27.96395803,357.922121,686.8525987,27.88982752,357.922121,686.8525987,27.37787117,359.0523274,686.8525987,27.43676607,359.0523274,686.8525987,28.49365502,359.0523274,686.8525987
10107,28.19725384,357.922121,686.8525987,27.94029147,357.922121,686.8525987,28.12338361,357.922121,686.8525987,27.98139807,357.922121,686.8525987,28.22078345,357.922121,686.8525987,27.94480559,359.0523274,686.8525987,28.00436607,360.8981959,686.8525987,27.59771029,359.0523274,686.8525987,27.56780372,359.0523274,686.8525987,27.56033069,359.0523274,686.8525987,27.98814782,357.922121,686.8525987,27.98589619,357.922121,686.8525987,27.91176568,357.922121,686.8525987,27.40438242,359.0523274,686.8525987,27.46327731,359.0523274,686.8525987,28.52016627,359.0523274,686.8525987
