;,"2022 CEC RESIDENTIAL TDV factors by climate zone, fuel and hour - Policy Compliant - Retail Adj, 0% avoided costs - No CH4 Leak  2019-12-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/MSontag - 12/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 12/19/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10101,28.17936327,352.2185086,686.8525987,27.92240089,352.2185086,686.8525987,28.10549304,352.2185086,686.8525987,27.96350749,352.2185086,686.8525987,28.20289287,352.2185086,686.8525987,27.92685337,353.3487149,686.8525987,27.98643272,355.1945834,686.8525987,27.57975807,353.3487149,686.8525987,27.5498515,353.3487149,686.8525987,27.54237847,353.3487149,686.8525987,27.97025724,352.2185086,686.8525987,27.96800561,352.2185086,686.8525987,27.8938751,352.2185086,686.8525987,27.3864302,353.3487149,686.8525987,27.44532509,353.3487149,686.8525987,28.50221405,353.3487149,686.8525987
10102,28.16357514,352.2185086,686.8525987,27.90661276,352.2185086,686.8525987,28.0897049,352.2185086,686.8525987,27.94771936,352.2185086,686.8525987,28.18710474,352.2185086,686.8525987,27.90614252,353.3487149,686.8525987,27.96574447,355.1945834,686.8525987,27.55904722,353.3487149,686.8525987,27.52914065,353.3487149,686.8525987,27.52166762,353.3487149,686.8525987,27.95446911,352.2185086,686.8525987,27.95221748,352.2185086,686.8525987,27.87808697,352.2185086,686.8525987,27.36571935,353.3487149,686.8525987,27.42461424,353.3487149,686.8525987,28.4815032,353.3487149,686.8525987
10103,28.10692498,352.2185086,686.8525987,27.8499626,352.2185086,686.8525987,28.03305475,352.2185086,686.8525987,27.89106921,352.2185086,686.8525987,28.13045458,352.2185086,686.8525987,27.8225898,353.3487149,686.8525987,27.88230031,355.1945834,686.8525987,27.4754945,353.3487149,686.8525987,27.44558793,353.3487149,686.8525987,27.43811489,353.3487149,686.8525987,27.89781896,352.2185086,686.8525987,27.89556732,352.2185086,686.8525987,27.82143682,352.2185086,686.8525987,27.28216663,353.3487149,686.8525987,27.34106152,353.3487149,686.8525987,28.39795047,353.3487149,686.8525987
10104,28.01402862,352.2185086,686.8525987,27.75706625,352.2185086,686.8525987,27.94015839,352.2185086,686.8525987,27.79817285,352.2185086,686.8525987,28.03755822,352.2185086,686.8525987,27.75523693,353.3487149,686.8525987,27.81503546,355.1945834,686.8525987,27.40814163,353.3487149,686.8525987,27.37823506,353.3487149,686.8525987,27.37076202,353.3487149,686.8525987,27.8049226,352.2185086,686.8525987,27.80267096,352.2185086,686.8525987,27.72854046,352.2185086,686.8525987,27.21481376,353.3487149,686.8525987,27.27370865,353.3487149,686.8525987,28.3305976,353.3487149,686.8525987
10105,28.13436655,352.2185086,686.8525987,27.87740418,352.2185086,686.8525987,28.06049632,352.2185086,686.8525987,27.91851078,352.2185086,686.8525987,28.15789615,352.2185086,686.8525987,27.79954843,353.3487149,686.8525987,27.85928816,355.1945834,686.8525987,27.45245313,353.3487149,686.8525987,27.42254656,353.3487149,686.8525987,27.41507353,353.3487149,686.8525987,27.92526053,352.2185086,686.8525987,27.92300889,352.2185086,686.8525987,27.84887839,352.2185086,686.8525987,27.25912526,353.3487149,686.8525987,27.31802015,353.3487149,686.8525987,28.37490911,353.3487149,686.8525987
10106,28.17531569,352.2185086,686.8525987,27.91835331,352.2185086,686.8525987,28.10144545,352.2185086,686.8525987,27.95945991,352.2185086,686.8525987,28.19884529,352.2185086,686.8525987,27.91829434,353.3487149,686.8525987,27.97788252,355.1945834,686.8525987,27.57119905,353.3487149,686.8525987,27.54129247,353.3487149,686.8525987,27.53381944,353.3487149,686.8525987,27.96620966,352.2185086,686.8525987,27.96395803,352.2185086,686.8525987,27.88982752,352.2185086,686.8525987,27.37787117,353.3487149,686.8525987,27.43676607,353.3487149,686.8525987,28.49365502,353.3487149,686.8525987
10107,28.19725384,352.2185086,686.8525987,27.94029147,352.2185086,686.8525987,28.12338361,352.2185086,686.8525987,27.98139807,352.2185086,686.8525987,28.22078345,352.2185086,686.8525987,27.94480559,353.3487149,686.8525987,28.00436607,355.1945834,686.8525987,27.59771029,353.3487149,686.8525987,27.56780372,353.3487149,686.8525987,27.56033069,353.3487149,686.8525987,27.98814782,352.2185086,686.8525987,27.98589619,352.2185086,686.8525987,27.91176568,352.2185086,686.8525987,27.40438242,353.3487149,686.8525987,27.46327731,353.3487149,686.8525987,28.52016627,353.3487149,686.8525987
