;,"2022 CEC RESIDENTIAL TDV factors by climate zone, fuel and hour - Policy (Deep Decarbon) - Retail Adj, 100% avoided costs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/BConlon - 10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 11/16/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10101,30.01,368.418619,686.8525987,29.72,368.418619,686.8525987,29.93,368.418619,686.8525987,29.77,368.418619,686.8525987,30.04,368.418619,686.8525987,29.76,369.5488253,686.8525987,29.76,371.3946938,686.8525987,29.37,369.5488253,686.8525987,29.34,369.5488253,686.8525987,29.33,369.5488253,686.8525987,29.78,368.418619,686.8525987,29.77,368.418619,686.8525987,29.69,368.418619,686.8525987,29.15,369.5488253,686.8525987,29.22,369.5488253,686.8525987,30.4,369.5488253,686.8525987
10102,29.97,368.418619,686.8525987,29.68,368.418619,686.8525987,29.89,368.418619,686.8525987,29.73,368.418619,686.8525987,30,368.418619,686.8525987,29.7,369.5488253,686.8525987,29.71,371.3946938,686.8525987,29.32,369.5488253,686.8525987,29.28,369.5488253,686.8525987,29.28,369.5488253,686.8525987,29.74,368.418619,686.8525987,29.73,368.418619,686.8525987,29.65,368.418619,686.8525987,29.1,369.5488253,686.8525987,29.17,369.5488253,686.8525987,30.34,369.5488253,686.8525987
10103,29.82,368.418619,686.8525987,29.54,368.418619,686.8525987,29.74,368.418619,686.8525987,29.59,368.418619,686.8525987,29.85,368.418619,686.8525987,29.49,369.5488253,686.8525987,29.5,371.3946938,686.8525987,29.11,369.5488253,686.8525987,29.07,369.5488253,686.8525987,29.07,369.5488253,686.8525987,29.59,368.418619,686.8525987,29.59,368.418619,686.8525987,29.51,368.418619,686.8525987,28.89,369.5488253,686.8525987,28.96,369.5488253,686.8525987,30.12,369.5488253,686.8525987
10104,29.59,368.418619,686.8525987,29.3,368.418619,686.8525987,29.5,368.418619,686.8525987,29.35,368.418619,686.8525987,29.61,368.418619,686.8525987,29.32,369.5488253,686.8525987,29.32,371.3946938,686.8525987,28.94,369.5488253,686.8525987,28.9,369.5488253,686.8525987,28.9,369.5488253,686.8525987,29.36,368.418619,686.8525987,29.35,368.418619,686.8525987,29.27,368.418619,686.8525987,28.73,369.5488253,686.8525987,28.79,369.5488253,686.8525987,29.95,369.5488253,686.8525987
10105,29.89,368.418619,686.8525987,29.61,368.418619,686.8525987,29.81,368.418619,686.8525987,29.66,368.418619,686.8525987,29.92,368.418619,686.8525987,29.43,369.5488253,686.8525987,29.44,371.3946938,686.8525987,29.05,369.5488253,686.8525987,29.02,369.5488253,686.8525987,29.01,369.5488253,686.8525987,29.66,368.418619,686.8525987,29.66,368.418619,686.8525987,29.58,368.418619,686.8525987,28.84,369.5488253,686.8525987,28.9,369.5488253,686.8525987,30.06,369.5488253,686.8525987
10106,30,368.418619,686.8525987,29.71,368.418619,686.8525987,29.92,368.418619,686.8525987,29.76,368.418619,686.8525987,30.03,368.418619,686.8525987,29.73,369.5488253,686.8525987,29.74,371.3946938,686.8525987,29.35,369.5488253,686.8525987,29.31,369.5488253,686.8525987,29.31,369.5488253,686.8525987,29.77,368.418619,686.8525987,29.76,368.418619,686.8525987,29.68,368.418619,686.8525987,29.13,369.5488253,686.8525987,29.2,369.5488253,686.8525987,30.37,369.5488253,686.8525987
10107,30.06,368.418619,686.8525987,29.77,368.418619,686.8525987,29.97,368.418619,686.8525987,29.82,368.418619,686.8525987,30.08,368.418619,686.8525987,29.8,369.5488253,686.8525987,29.81,371.3946938,686.8525987,29.41,369.5488253,686.8525987,29.38,369.5488253,686.8525987,29.37,369.5488253,686.8525987,29.82,368.418619,686.8525987,29.82,368.418619,686.8525987,29.74,368.418619,686.8525987,29.2,369.5488253,686.8525987,29.26,369.5488253,686.8525987,30.44,369.5488253,686.8525987
