;,"2022 CEC RESIDENTIAL TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/MSontag - 10/9/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 10/9/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10101,28.17936327,316.7452992,686.8525987,27.92240089,316.7452992,686.8525987,28.10549304,316.7452992,686.8525987,27.96350749,316.7452992,686.8525987,28.20289287,316.7452992,686.8525987,27.92685337,317.8530556,686.8525987,27.98643272,319.6761988,686.8525987,27.57975807,317.8530556,686.8525987,27.5498515,317.8530556,686.8525987,27.54237847,317.8530556,686.8525987,27.97025724,316.7452992,686.8525987,27.96800561,316.7452992,686.8525987,27.8938751,316.7452992,686.8525987,27.3864302,317.8530556,686.8525987,27.44532509,317.8530556,686.8525987,28.50221405,317.8530556,686.8525987
10102,28.16357514,316.7452992,686.8525987,27.90661276,316.7452992,686.8525987,28.0897049,316.7452992,686.8525987,27.94771936,316.7452992,686.8525987,28.18710474,316.7452992,686.8525987,27.90614252,317.8530556,686.8525987,27.96574447,319.6761988,686.8525987,27.55904722,317.8530556,686.8525987,27.52914065,317.8530556,686.8525987,27.52166762,317.8530556,686.8525987,27.95446911,316.7452992,686.8525987,27.95221748,316.7452992,686.8525987,27.87808697,316.7452992,686.8525987,27.36571935,317.8530556,686.8525987,27.42461424,317.8530556,686.8525987,28.4815032,317.8530556,686.8525987
10103,28.10692498,316.7452992,686.8525987,27.8499626,316.7452992,686.8525987,28.03305475,316.7452992,686.8525987,27.89106921,316.7452992,686.8525987,28.13045458,316.7452992,686.8525987,27.8225898,317.8530556,686.8525987,27.88230031,319.6761988,686.8525987,27.4754945,317.8530556,686.8525987,27.44558793,317.8530556,686.8525987,27.43811489,317.8530556,686.8525987,27.89781896,316.7452992,686.8525987,27.89556732,316.7452992,686.8525987,27.82143682,316.7452992,686.8525987,27.28216663,317.8530556,686.8525987,27.34106152,317.8530556,686.8525987,28.39795047,317.8530556,686.8525987
10104,28.01402862,316.7452992,686.8525987,27.75706625,316.7452992,686.8525987,27.94015839,316.7452992,686.8525987,27.79817285,316.7452992,686.8525987,28.03755822,316.7452992,686.8525987,27.75523693,317.8530556,686.8525987,27.81503546,319.6761988,686.8525987,27.40814163,317.8530556,686.8525987,27.37823506,317.8530556,686.8525987,27.37076202,317.8530556,686.8525987,27.8049226,316.7452992,686.8525987,27.80267096,316.7452992,686.8525987,27.72854046,316.7452992,686.8525987,27.21481376,317.8530556,686.8525987,27.27370865,317.8530556,686.8525987,28.3305976,317.8530556,686.8525987
10105,28.13436655,316.7452992,686.8525987,27.87740418,316.7452992,686.8525987,28.06049632,316.7452992,686.8525987,27.91851078,316.7452992,686.8525987,28.15789615,316.7452992,686.8525987,27.79954843,317.8530556,686.8525987,27.85928816,319.6761988,686.8525987,27.45245313,317.8530556,686.8525987,27.42254656,317.8530556,686.8525987,27.41507353,317.8530556,686.8525987,27.92526053,316.7452992,686.8525987,27.92300889,316.7452992,686.8525987,27.84887839,316.7452992,686.8525987,27.25912526,317.8530556,686.8525987,27.31802015,317.8530556,686.8525987,28.37490911,317.8530556,686.8525987
10106,28.17531569,316.7452992,686.8525987,27.91835331,316.7452992,686.8525987,28.10144545,316.7452992,686.8525987,27.95945991,316.7452992,686.8525987,28.19884529,316.7452992,686.8525987,27.91829434,317.8530556,686.8525987,27.97788252,319.6761988,686.8525987,27.57119905,317.8530556,686.8525987,27.54129247,317.8530556,686.8525987,27.53381944,317.8530556,686.8525987,27.96620966,316.7452992,686.8525987,27.96395803,316.7452992,686.8525987,27.88982752,316.7452992,686.8525987,27.37787117,317.8530556,686.8525987,27.43676607,317.8530556,686.8525987,28.49365502,317.8530556,686.8525987
10107,28.19725384,316.7452992,686.8525987,27.94029147,316.7452992,686.8525987,28.12338361,316.7452992,686.8525987,27.98139807,316.7452992,686.8525987,28.22078345,316.7452992,686.8525987,27.94480559,317.8530556,686.8525987,28.00436607,319.6761988,686.8525987,27.59771029,317.8530556,686.8525987,27.56780372,317.8530556,686.8525987,27.56033069,317.8530556,686.8525987,27.98814782,316.7452992,686.8525987,27.98589619,316.7452992,686.8525987,27.91176568,316.7452992,686.8525987,27.40438242,317.8530556,686.8525987,27.46327731,317.8530556,686.8525987,28.52016627,317.8530556,686.8525987
