;,"2022 CEC RESIDENTIAL TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/MSontag - 10/9/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 10/9/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10101,28.17936327,368.418619,686.8525987,27.92240089,368.418619,686.8525987,28.10549304,368.418619,686.8525987,27.96350749,368.418619,686.8525987,28.20289287,368.418619,686.8525987,27.92685337,369.5488253,686.8525987,27.98643272,371.3946938,686.8525987,27.57975807,369.5488253,686.8525987,27.5498515,369.5488253,686.8525987,27.54237847,369.5488253,686.8525987,27.97025724,368.418619,686.8525987,27.96800561,368.418619,686.8525987,27.8938751,368.418619,686.8525987,27.3864302,369.5488253,686.8525987,27.44532509,369.5488253,686.8525987,28.50221405,369.5488253,686.8525987
10102,28.16357514,368.418619,686.8525987,27.90661276,368.418619,686.8525987,28.0897049,368.418619,686.8525987,27.94771936,368.418619,686.8525987,28.18710474,368.418619,686.8525987,27.90614252,369.5488253,686.8525987,27.96574447,371.3946938,686.8525987,27.55904722,369.5488253,686.8525987,27.52914065,369.5488253,686.8525987,27.52166762,369.5488253,686.8525987,27.95446911,368.418619,686.8525987,27.95221748,368.418619,686.8525987,27.87808697,368.418619,686.8525987,27.36571935,369.5488253,686.8525987,27.42461424,369.5488253,686.8525987,28.4815032,369.5488253,686.8525987
10103,28.10692498,368.418619,686.8525987,27.8499626,368.418619,686.8525987,28.03305475,368.418619,686.8525987,27.89106921,368.418619,686.8525987,28.13045458,368.418619,686.8525987,27.8225898,369.5488253,686.8525987,27.88230031,371.3946938,686.8525987,27.4754945,369.5488253,686.8525987,27.44558793,369.5488253,686.8525987,27.43811489,369.5488253,686.8525987,27.89781896,368.418619,686.8525987,27.89556732,368.418619,686.8525987,27.82143682,368.418619,686.8525987,27.28216663,369.5488253,686.8525987,27.34106152,369.5488253,686.8525987,28.39795047,369.5488253,686.8525987
10104,28.01402862,368.418619,686.8525987,27.75706625,368.418619,686.8525987,27.94015839,368.418619,686.8525987,27.79817285,368.418619,686.8525987,28.03755822,368.418619,686.8525987,27.75523693,369.5488253,686.8525987,27.81503546,371.3946938,686.8525987,27.40814163,369.5488253,686.8525987,27.37823506,369.5488253,686.8525987,27.37076202,369.5488253,686.8525987,27.8049226,368.418619,686.8525987,27.80267096,368.418619,686.8525987,27.72854046,368.418619,686.8525987,27.21481376,369.5488253,686.8525987,27.27370865,369.5488253,686.8525987,28.3305976,369.5488253,686.8525987
10105,28.13436655,368.418619,686.8525987,27.87740418,368.418619,686.8525987,28.06049632,368.418619,686.8525987,27.91851078,368.418619,686.8525987,28.15789615,368.418619,686.8525987,27.79954843,369.5488253,686.8525987,27.85928816,371.3946938,686.8525987,27.45245313,369.5488253,686.8525987,27.42254656,369.5488253,686.8525987,27.41507353,369.5488253,686.8525987,27.92526053,368.418619,686.8525987,27.92300889,368.418619,686.8525987,27.84887839,368.418619,686.8525987,27.25912526,369.5488253,686.8525987,27.31802015,369.5488253,686.8525987,28.37490911,369.5488253,686.8525987
10106,28.17531569,368.418619,686.8525987,27.91835331,368.418619,686.8525987,28.10144545,368.418619,686.8525987,27.95945991,368.418619,686.8525987,28.19884529,368.418619,686.8525987,27.91829434,369.5488253,686.8525987,27.97788252,371.3946938,686.8525987,27.57119905,369.5488253,686.8525987,27.54129247,369.5488253,686.8525987,27.53381944,369.5488253,686.8525987,27.96620966,368.418619,686.8525987,27.96395803,368.418619,686.8525987,27.88982752,368.418619,686.8525987,27.37787117,369.5488253,686.8525987,27.43676607,369.5488253,686.8525987,28.49365502,369.5488253,686.8525987
10107,28.19725384,368.418619,686.8525987,27.94029147,368.418619,686.8525987,28.12338361,368.418619,686.8525987,27.98139807,368.418619,686.8525987,28.22078345,368.418619,686.8525987,27.94480559,369.5488253,686.8525987,28.00436607,371.3946938,686.8525987,27.59771029,369.5488253,686.8525987,27.56780372,369.5488253,686.8525987,27.56033069,369.5488253,686.8525987,27.98814782,368.418619,686.8525987,27.98589619,368.418619,686.8525987,27.91176568,368.418619,686.8525987,27.40438242,369.5488253,686.8525987,27.46327731,369.5488253,686.8525987,28.52016627,369.5488253,686.8525987
