;,2025 Energy Code: Residential Systemwide Life Cycle Cost (SLCC) Hourly Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,https://www.energy.ca.gov/programs-and-topics/programs/building-energy-efficiency-standards/2025-building-energy-efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,10/25/22 - SAC - created combined Res table from Res 30 yr tabs of:  2025_TDV_8_pct_gas_cap_20221020.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,11/25/22 - RJ - nonsubstantive unit and presentation cleanup to match final factor tables published on 11/18/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors are used to convert predicted site energy use to long-term dollar costs to California's energy system. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors are not used for predicting utility bills. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors must be used with a computer program approved for demonstrating compliance with the 2025 Energy Code by the California Energy Commission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,"These hourly factors are formatted to the 2009 calendar year, where January 3rd & 4th are the first weekend of the year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors assume a 30-year period of analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,Electricity SLCC,,,,,,,,,,,,,,,,Natural Gas SLCC,,,,,,,,,,,,,,,,Propane SLCC,,,,,,,,,,,,,,,
;,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
;,,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm
; TABLE 2025Res_SLCCbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10101,12.5850339,126.6371237,110.6776243,12.58936484,126.6371237,110.6776243,12.58775803,126.6371237,110.6776243,12.57642826,126.6371237,110.6776243,12.58836771,126.6371237,110.6776243,16.21634089,126.9810847,110.6776243,15.19965677,127.5442138,110.6776243,16.19060843,126.9810847,110.6776243,16.19111697,126.9810847,110.6776243,16.1885435,126.9810847,110.6776243,12.57732128,126.6371237,110.6776243,12.57876613,126.6371237,110.6776243,12.57113604,126.6371237,110.6776243,16.18004944,126.9810847,110.6776243,16.16599249,126.9810847,110.6776243,16.2353965,126.9810847,110.6776243
10102,9.194743797,126.6371237,110.6776243,9.198401808,126.6371237,110.6776243,9.197044663,126.6371237,110.6776243,9.187475274,126.6371237,110.6776243,9.197559611,126.6371237,110.6776243,12.30439169,126.9810847,110.6776243,11.51028438,127.5442138,110.6776243,12.28271588,126.9810847,110.6776243,12.28314425,126.9810847,110.6776243,12.28097648,126.9810847,110.6776243,9.188229543,126.6371237,110.6776243,9.189449894,126.6371237,110.6776243,9.183005341,126.6371237,110.6776243,12.27382149,126.9810847,110.6776243,12.26198058,126.9810847,110.6776243,12.32044324,126.9810847,110.6776243
10103,7.630881804,126.6371237,110.6776243,7.634229409,126.6371237,110.6776243,7.632987427,126.6371237,110.6776243,7.624230062,126.6371237,110.6776243,7.633458678,126.6371237,110.6776243,7.810400512,126.9810847,110.6776243,7.271986246,127.5442138,110.6776243,7.793384925,126.9810847,110.6776243,7.793721196,126.9810847,110.6776243,7.792019489,126.9810847,110.6776243,7.624920326,126.6371237,110.6776243,7.626037123,126.6371237,110.6776243,7.620139432,126.6371237,110.6776243,7.786402795,126.9810847,110.6776243,7.777107644,126.9810847,110.6776243,7.823001027,126.9810847,110.6776243
10104,7.554003317,126.6371237,110.6776243,7.557335663,126.6371237,110.6776243,7.556099342,126.6371237,110.6776243,7.547381896,126.6371237,110.6776243,7.556568445,126.6371237,110.6776243,7.599955611,126.9810847,110.6776243,7.073514955,127.5442138,110.6776243,7.583158254,126.9810847,110.6776243,7.583490212,126.9810847,110.6776243,7.58181033,126.9810847,110.6776243,7.548069014,126.6371237,110.6776243,7.54918072,126.6371237,110.6776243,7.543309912,126.6371237,110.6776243,7.576265671,126.9810847,110.6776243,7.567089734,126.9810847,110.6776243,7.612394522,126.9810847,110.6776243
10105,7.497299747,126.6371237,110.6776243,7.500620837,126.6371237,110.6776243,7.499388692,126.6371237,110.6776243,7.490700689,126.6371237,110.6776243,7.499856211,126.6371237,110.6776243,7.562754114,126.9810847,110.6776243,7.038430098,127.5442138,110.6776243,7.545995334,126.9810847,110.6776243,7.54632653,126.9810847,110.6776243,7.544650505,126.9810847,110.6776243,7.491385486,126.6371237,110.6776243,7.492493437,126.6371237,110.6776243,7.486642458,126.6371237,110.6776243,7.539118581,126.9810847,110.6776243,7.529963717,126.9810847,110.6776243,7.575164456,126.9810847,110.6776243
10106,7.557483095,126.6371237,110.6776243,7.560816131,126.6371237,110.6776243,7.559579555,126.6371237,110.6776243,7.550860301,126.6371237,110.6776243,7.560048755,126.6371237,110.6776243,7.624221504,126.9810847,110.6776243,7.0964002,127.5442138,110.6776243,7.607398984,126.9810847,110.6776243,7.607731439,126.9810847,110.6776243,7.60604904,126.9810847,110.6776243,7.551547562,126.6371237,110.6776243,7.552659498,126.6371237,110.6776243,7.546787474,126.6371237,110.6776243,7.600496075,126.9810847,110.6776243,7.591306392,126.9810847,110.6776243,7.636679049,126.9810847,110.6776243
10107,8.586084498,126.6371237,110.6776243,8.589621698,126.6371237,110.6776243,8.588309375,126.6371237,110.6776243,8.579056028,126.6371237,110.6776243,8.588807316,126.6371237,110.6776243,8.556085666,126.9810847,110.6776243,7.975244412,127.5442138,110.6776243,8.538296811,126.9810847,110.6776243,8.538648364,126.9810847,110.6776243,8.536869323,126.9810847,110.6776243,8.579785386,126.6371237,110.6776243,8.580965434,126.6371237,110.6776243,8.574733721,126.6371237,110.6776243,8.53099738,126.9810847,110.6776243,8.521279815,126.9810847,110.6776243,8.569258808,126.9810847,110.6776243
10108,7.597226466,126.6371237,110.6776243,7.600567391,126.6371237,110.6776243,7.599327888,126.6371237,110.6776243,7.590587998,126.6371237,110.6776243,7.599798198,126.6371237,110.6776243,7.612722521,126.9810847,110.6776243,7.08555547,127.5442138,110.6776243,7.595911924,126.9810847,110.6776243,7.596244144,126.9810847,110.6776243,7.594562938,126.9810847,110.6776243,7.591276885,126.6371237,110.6776243,7.592391453,126.6371237,110.6776243,7.586505531,126.6371237,110.6776243,7.589013909,126.9810847,110.6776243,7.579830739,126.9810847,110.6776243,7.625171236,126.9810847,110.6776243
10109,7.203995513,126.6371237,110.6776243,7.207258387,126.6371237,110.6776243,7.206047841,126.6371237,110.6776243,7.197512134,126.6371237,110.6776243,7.206507164,126.6371237,110.6776243,6.776846744,126.9810847,110.6776243,6.297238225,127.5442138,110.6776243,6.760902942,126.9810847,110.6776243,6.761218032,126.9810847,110.6776243,6.759623512,126.9810847,110.6776243,7.198184927,126.6371237,110.6776243,7.199273456,126.6371237,110.6776243,7.193525042,126.6371237,110.6776243,6.754360605,126.9810847,110.6776243,6.745650942,126.9810847,110.6776243,6.788653572,126.9810847,110.6776243
10110,6.92638156,126.6371237,110.6776243,6.929589331,126.6371237,110.6776243,6.928399229,126.6371237,110.6776243,6.92000767,126.6371237,110.6776243,6.928850795,126.6371237,110.6776243,6.773945977,126.9810847,110.6776243,6.294502502,127.5442138,110.6776243,6.758005183,126.9810847,110.6776243,6.758320214,126.9810847,110.6776243,6.756725995,126.9810847,110.6776243,6.920669102,126.6371237,110.6776243,6.921739248,126.6371237,110.6776243,6.916087911,126.6371237,110.6776243,6.751464081,126.9810847,110.6776243,6.742756061,126.9810847,110.6776243,6.785750578,126.9810847,110.6776243
10111,7.314080576,126.6371237,110.6776243,7.3173653,126.6371237,110.6776243,7.316146647,126.6371237,110.6776243,7.307553779,126.6371237,110.6776243,7.316609046,126.6371237,110.6776243,6.776707655,126.9810847,110.6776243,6.29710705,127.5442138,110.6776243,6.760763998,126.9810847,110.6776243,6.761079085,126.9810847,110.6776243,6.75948458,126.9810847,110.6776243,7.308231078,126.6371237,110.6776243,7.309326896,126.6371237,110.6776243,7.303539986,126.6371237,110.6776243,6.75422172,126.9810847,110.6776243,6.745512135,126.9810847,110.6776243,6.788514377,126.9810847,110.6776243
10112,7.203001733,126.6371237,110.6776243,7.206264409,126.6371237,110.6776243,7.205053937,126.6371237,110.6776243,7.196518745,126.6371237,110.6776243,7.205513232,126.6371237,110.6776243,6.784059554,126.9810847,110.6776243,6.304040651,127.5442138,110.6776243,6.768108273,126.9810847,110.6776243,6.768423511,126.9810847,110.6776243,6.766828243,126.9810847,110.6776243,7.197191498,126.6371237,110.6776243,7.198279961,126.6371237,110.6776243,7.192531894,126.6371237,110.6776243,6.761562867,126.9810847,110.6776243,6.752849118,126.9810847,110.6776243,6.795871922,126.9810847,110.6776243
10113,7.318388813,126.6371237,110.6776243,7.321674392,126.6371237,110.6776243,7.320455423,126.6371237,110.6776243,7.311860317,126.6371237,110.6776243,7.320917942,126.6371237,110.6776243,6.780390428,126.9810847,110.6776243,6.300580286,127.5442138,110.6776243,6.764442952,126.9810847,110.6776243,6.764758115,126.9810847,110.6776243,6.763163227,126.9810847,110.6776243,7.312537793,126.6371237,110.6776243,7.313633896,126.6371237,110.6776243,7.30784548,126.6371237,110.6776243,6.757899107,126.9810847,110.6776243,6.749187436,126.9810847,110.6776243,6.792199978,126.9810847,110.6776243
10114,7.358078065,126.6371237,110.6776243,7.361371521,126.6371237,110.6776243,7.360149629,126.6371237,110.6776243,7.351533915,126.6371237,110.6776243,7.360613257,126.6371237,110.6776243,6.780832851,126.9810847,110.6776243,6.300997536,127.5442138,110.6776243,6.764884916,126.9810847,110.6776243,6.765200087,126.9810847,110.6776243,6.763605154,126.9810847,110.6776243,7.352213015,126.6371237,110.6776243,7.353311747,126.6371237,110.6776243,7.347509452,126.6371237,110.6776243,6.758340883,126.9810847,110.6776243,6.749628961,126.9810847,110.6776243,6.792642741,126.9810847,110.6776243
10115,7.381998582,126.6371237,110.6776243,7.385296787,126.6371237,110.6776243,7.384073133,126.6371237,110.6776243,7.375444999,126.6371237,110.6776243,7.38453743,126.6371237,110.6776243,6.780956543,126.9810847,110.6776243,6.301114191,127.5442138,110.6776243,6.76500848,126.9810847,110.6776243,6.765323654,126.9810847,110.6776243,6.763728708,126.9810847,110.6776243,7.376125077,126.6371237,110.6776243,7.377225393,126.6371237,110.6776243,7.371414733,126.6371237,110.6776243,6.758464394,126.9810847,110.6776243,6.749752402,126.9810847,110.6776243,6.792766528,126.9810847,110.6776243
10116,7.29200803,126.6371237,110.6776243,7.295288373,126.6371237,110.6776243,7.294071346,126.6371237,110.6776243,7.285489938,126.6371237,110.6776243,7.294533128,126.6371237,110.6776243,7.078305638,126.9810847,110.6776243,6.581545118,127.5442138,110.6776243,7.062049226,126.9810847,110.6776243,7.062370494,126.9810847,110.6776243,7.060744711,126.9810847,110.6776243,7.286166334,126.6371237,110.6776243,7.287260691,126.6371237,110.6776243,7.2814815,126.6371237,110.6776243,7.055378614,126.9810847,110.6776243,7.04649818,126.9810847,110.6776243,7.090343963,126.9810847,110.6776243
