;,2028 Energy Code: Residential Systemwide LSC Hourly Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,EThree-Fangxing Liu via CEC-Gypsy Achong - 4/10/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,04/17/25 - SAC - overwrote 2025 table data w/ Res 30 yr tabs of:  2028_TDV_LSC_no climate impact_20250410.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors are used to convert predicted site energy use to long-term dollar costs to California's energy system. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors are not used for predicting utility bills. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors must be used with a computer program approved for demonstrating compliance with the 2025 Energy Code by the California Energy Commission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,"These hourly factors are formatted to the 2009 calendar year, where January 3rd & 4th are the first weekend of the year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors assume a 30-year period of analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; TABLE 2028Res_LSCbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; MoDaHr,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10101,14.74408297,148.0324497,114.1900973,11.99130717,148.0324497,114.1900973,14.76781564,148.0324497,114.1900973,14.74357208,148.0324497,114.1900973,11.94253372,148.0324497,114.1900973,23.50161371,150.1505469,114.1900973,16.08923003,150.564282,114.1900973,13.71556731,150.1505469,114.1900973,14.22484824,150.1505469,114.1900973,18.5672963,150.1505469,114.1900973,9.52382641,148.0324497,114.1900973,9.521894394,148.0324497,114.1900973,9.520296097,148.0324497,114.1900973,14.1462068,150.1505469,114.1900973,18.76493369,150.1505469,114.1900973,9.353336119,150.1505469,114.1900973
10102,11.89420922,148.0324497,114.1900973,9.527949205,148.0324497,114.1900973,9.539061676,148.0324497,114.1900973,9.525919517,148.0324497,114.1900973,9.518137438,148.0324497,114.1900973,19.28494668,150.1505469,114.1900973,15.59687302,150.564282,114.1900973,13.75958215,150.1505469,114.1900973,9.350373368,150.1505469,114.1900973,13.90240227,150.1505469,114.1900973,9.507433277,148.0324497,114.1900973,9.505503434,148.0324497,114.1900973,9.503906935,148.0324497,114.1900973,9.374543178,150.1505469,114.1900973,14.00686561,150.1505469,114.1900973,9.337481501,150.1505469,114.1900973
10103,9.537431854,148.0324497,114.1900973,9.527949205,148.0324497,114.1900973,9.539061676,148.0324497,114.1900973,9.525919517,148.0324497,114.1900973,9.518137438,148.0324497,114.1900973,18.78593089,150.1505469,114.1900973,15.28987754,150.564282,114.1900973,9.365495496,150.1505469,114.1900973,9.350373368,150.1505469,114.1900973,9.386951606,150.1505469,114.1900973,9.507433277,148.0324497,114.1900973,9.505503434,148.0324497,114.1900973,9.503906935,148.0324497,114.1900973,9.374543178,150.1505469,114.1900973,9.416402312,150.1505469,114.1900973,9.337481501,150.1505469,114.1900973
10104,9.501422029,148.0324497,114.1900973,9.491962789,148.0324497,114.1900973,9.503047828,148.0324497,114.1900973,9.489938111,148.0324497,114.1900973,9.482175242,148.0324497,114.1900973,18.89296643,150.1505469,114.1900973,15.30372161,150.564282,114.1900973,9.330674115,150.1505469,114.1900973,9.315587669,150.1505469,114.1900973,13.76621676,150.1505469,114.1900973,9.471497506,148.0324497,114.1900973,9.469572426,148.0324497,114.1900973,9.467979869,148.0324497,114.1900973,9.339700449,150.1505469,114.1900973,13.89195095,150.1505469,114.1900973,9.302726221,150.1505469,114.1900973
